Ch1 Amplitude,Ch2 Amplitude,Cluster
3226.14038,2760.67578,1
3226.17749,2624.57568,1
3226.35352,2677.065,1
3226.36938,2685.095,1
3226.505,2766.41064,1
3226.55835,2631.29736,1
3226.59814,2719.447,1
3226.6272,2646.67139,1
3226.63818,2671.355,1
3226.68677,2657.693,1
3226.72119,2633.722,1
3226.72778,2673.313,1
3226.75366,2674.512,1
3226.78833,2665.841,1
3226.81,2812.927,1
3226.81787,2867.45166,1
3226.84717,2698.67554,1
3226.90649,2828.55957,1
3226.92847,2652.843,1
3226.97217,2614.02124,1
3226.98218,2717.96069,1
3227.00049,2656.93677,1
3227.01318,2683.02856,1
3227.01343,2738.487,1
3227.02881,2780.82983,1
3227.03516,2652.56616,1
3227.04053,2715.99854,1
3227.06152,2974.54956,1
3227.12842,2763.90625,1
3227.17285,2727.371,1
3227.22974,2829.86841,1
3227.34644,2940.489,1
3227.49731,2788.70972,1
3227.63428,2904.27417,1
3227.67,2751.31128,1
3227.70459,2902.58032,1
3227.76221,2715.258,1
3227.81177,2794.803,1
3227.83618,2647.239,1
3227.83813,2753.07764,1
3227.84717,2752.378,1
3227.90332,2651.10815,1
3227.945,2668.23828,1
3227.99585,2675.92969,1
3228.01538,2776.64014,1
3228.05566,2630.45435,1
3228.07666,2782.76074,1
3228.10083,2775.66675,1
3228.156,2782.85425,1
3228.24829,2589.16162,1
3228.26831,2883.09131,1
3228.27856,2766.264,1
3228.34229,2703.25635,1
3228.388,2692.819,1
3228.417,2730.74854,1
3228.44385,2720.01074,1
3228.48682,2776.16968,1
3228.524,2675.36,1
3228.586,2811.07983,1
3228.60449,2678.83569,1
3228.627,2840.66675,1
3228.64,2665.37256,1
3228.66943,2731.33643,1
3228.68,2806.144,1
3228.73535,2723.586,1
3228.76465,2652.271,1
3228.778,2810.8374,1
3228.786,2790.036,1
3228.86,2739.62671,1
3228.892,2662.123,1
3229.004,2749.97583,1
3229.0564,2690.825,1
3229.151,2719.11841,1
3229.17676,2617.952,1
3229.195,2704.43823,1
3229.24585,2650.532,1
3229.34058,2728.78735,1
3229.34424,2841.57764,1
3229.426,2897.2998,1
3229.459,2722.726,1
3229.52271,2859.31787,1
3229.53735,2715.38965,1
3229.558,2759.29346,1
3229.68237,2664.27344,1
3229.787,2835.48071,1
3229.82129,2747.4624,1
3229.864,2636.651,1
3229.94775,2721.8728,1
3229.97119,2740.12085,1
3230.01855,2663.28833,1
3230.11743,2730.13574,1
3230.25952,2793.11353,1
3230.268,2652.10938,1
3230.27856,2794.60132,1
3230.28442,2858.5896,1
3230.29761,2784.42578,1
3230.37842,2781.43823,1
3230.39648,2723.65,1
3230.39868,2746.47656,1
3230.4104,2824.55566,1
3230.41553,2815.057,1
3230.43848,2777.602,1
3230.485,2537.43237,1
3230.5708,2742.588,1
3230.59741,2613.32568,1
3230.75049,2698.787,1
3230.78687,2731.79541,1
3230.79175,2839.42554,1
3230.813,2685.03027,1
3230.82983,2670.47437,1
3230.835,2739.13184,1
3230.846,2682.473,1
3231.03735,2853.1958,1
3231.10352,2810.60864,1
3231.10767,2704.759,1
3231.14868,2696.49121,1
3231.18359,2632.77979,1
3231.20068,2623.46167,1
3231.21143,2762.78247,1
3231.24683,2764.99634,1
3231.2915,5997.545,4
3231.40454,2740.27539,1
3231.482,2637.39478,1
3231.48877,2598.02563,1
3231.54785,2662.74829,1
3231.58862,2737.16724,1
3232.00732,2667.54419,1
3232.0603,2702.26123,1
3232.07324,5764.409,4
3232.15015,2832.81128,1
3232.17529,2780.68945,1
3232.188,2670.36914,1
3232.24463,2665.8147,1
3232.32642,2678.70776,1
3232.35327,2764.2854,1
3232.38159,2692.45215,1
3232.481,2854.955,1
3232.53857,2651.51563,1
3232.60547,2612.43921,1
3232.61084,2678.1272,1
3232.62231,2772.73877,1
3232.7146,2951.76978,1
3232.71533,2617.74146,1
3232.75586,2708.684,1
3232.86963,2847.564,1
3233.01318,2913.28076,1
3233.19458,2951.84814,1
3233.25024,2758.51563,1
3233.29346,2780.67529,1
3233.34326,2643.45557,1
3233.358,2781.53418,1
3233.37915,2732.97632,1
3233.42969,2771.859,1
3233.50854,2842.689,1
3233.55884,2613.01343,1
3233.68335,2752.34375,1
