Ch1 Amplitude,Ch2 Amplitude,Cluster
3243.90527,2667.639,1
3244.145,2757.04272,1
3244.2085,2572.67285,1
3244.24658,2730.62915,1
3244.32813,2795.4292,1
3244.377,2798.12427,1
3244.40674,2633.6936,1
3244.412,2623.25513,1
3244.446,6105.722,4
3244.46045,6050.14,4
3244.555,2618.17188,1
3244.60986,2581.33765,1
3244.66553,2630.51221,1
3244.95923,2695.05933,1
3244.97168,2780.76,1
3244.97363,2513.463,1
3244.995,2614.55054,1
3245.25171,2601.94,1
3245.458,2548.41748,1
3245.623,2620.0188,1
3245.68848,2612.37817,1
3245.75146,2728.39453,1
3245.77344,2656.021,1
3246.39844,2577.75317,1
3246.44458,2657.76123,1
3246.50635,2596.52612,1
3246.56323,2424.75635,1
3246.59937,2644.44922,1
3246.644,2528.492,1
3246.76,2529.82837,1
3246.86,2710.2373,1
3246.93,2621.678,1
3247.248,2581.58667,1
3247.3186,2630.05518,1
3247.41919,2542.91455,1
3247.43262,2750.54761,1
3247.458,2590.99,1
3247.46924,2609.11084,1
3247.5376,2632.31128,1
3247.63623,2721.15918,1
3247.67188,2704.91626,1
3247.73071,2767.67334,1
3247.94043,2763.293,1
3247.972,2608.019,1
3248.07349,2788.23364,1
3248.1333,2639.362,1
3248.145,2674.029,1
3248.16943,2692.24683,1
3248.22144,2576.70068,1
3248.278,2819.95459,1
3248.35229,2643.67822,1
3248.527,2730.64,1
3248.677,2538.99268,1
3248.70313,2545.771,1
3248.70825,2757.57373,1
3248.77051,2614.32715,1
3248.98975,2624.273,1
3249.06128,2617.01733,1
3249.082,2661.736,1
3249.12866,2658.51465,1
3249.29785,2551.63184,1
3249.434,2521.55713,1
3249.575,2721.99146,1
3249.66284,2549.55322,1
3249.68579,2722.82324,1
3249.727,2631.881,1
3249.74268,2577.1814,1
3249.76563,2679.23755,1
3249.7793,2425.249,1
3249.92578,2479.76025,1
3250.03467,2705.65552,1
3250.04761,2664.12158,1
3250.069,2559.3584,1
3250.162,2649.75854,1
3250.183,2673.533,1
3250.20361,2704.85815,1
3250.24,2723.19775,1
3250.29443,2670.62231,1
3250.45483,2659.93481,1
3250.52124,2588.05957,1
3250.581,2729.18066,1
3250.58813,2749.937,1
3250.59131,2560.22876,1
3250.606,2607.342,1
3250.683,2457.827,1
3250.715,2647.79834,1
3250.771,2666.55957,1
3250.77637,2677.50684,1
3250.78369,2568.28027,1
3250.994,2555.64429,1
3251.046,2559.518,1
3251.0542,2750.29541,1
3251.09717,2681.30615,1
3251.13623,2742.21533,1
3251.15649,2596.11621,1
3251.18677,2561.65649,1
3251.188,2393.50684,1
3251.3208,2681.77539,1
3251.38672,2641.83984,1
3251.43384,2716.66187,1
3251.439,2576.46484,1
